timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1601652601860,3,click_guestbook_2,200,,UC_02_sendComment 1-1,text,true,,6001,344,10,11,http://localhost:8080/service/guestbook,,3,UTF-8,1,0,home-pc,0,0
1601652601863,4,create_COMMENT_1,200,,UC_02_sendComment 1-4,text,true,,274,608,10,11,http://localhost:8080/service/guestbook,,4,UTF-8,1,0,home-pc,0,0
1601652601864,3,create_COMMENT_1,200,,UC_02_sendComment 1-1,text,true,,274,618,10,11,http://localhost:8080/service/guestbook,,3,UTF-8,1,0,home-pc,0,0
1601652601868,4,create_COMMENT_2,200,,UC_02_sendComment 1-4,text,true,,6159,318,10,11,http://localhost:8080/service/guestbook,,4,UTF-8,1,0,home-pc,0,0
1601652601868,4,create_COMMENT_2,200,,UC_02_sendComment 1-1,text,true,,6159,318,10,11,http://localhost:8080/service/guestbook,,4,UTF-8,1,0,home-pc,0,0
1601652601872,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,10,0
1601652601882,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,8,0
1601652601890,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,13,0
1601652601903,0,create_COMMENT,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,9,0
1601652601872,39,UC_02_sendComment,200,"Number of samples in transaction : 6, number of failing samples : 0",UC_02_sendComment 1-4,,true,,45575,2430,10,11,null,,0,ISO-8859-1,1,0,home-pc,0,0
1601652601873,8,connect_to_server,200,,UC_02_sendComment 1-4,text,true,,22653,355,10,11,http://localhost:8080/,,8,utf-8,1,0,home-pc,0,0
1601652601882,7,click_clients,200,,UC_02_sendComment 1-4,text,true,,6135,400,10,11,http://localhost:8080/clients.html,,7,utf-8,1,0,home-pc,0,0
1601652601890,8,click_guestbook_1,200,,UC_02_sendComment 1-4,text,true,,4112,395,10,11,http://localhost:8080/guestbook.html,,8,utf-8,1,0,home-pc,0,0
1601652601898,4,click_guestbook_2,200,,UC_02_sendComment 1-4,text,true,,6159,344,10,11,http://localhost:8080/service/guestbook,,4,UTF-8,1,0,home-pc,0,0
1601652601903,4,create_COMMENT_1,200,,UC_02_sendComment 1-4,text,true,,274,618,10,11,http://localhost:8080/service/guestbook,,4,UTF-8,1,0,home-pc,0,0
1601652601908,3,create_COMMENT_2,200,,UC_02_sendComment 1-4,text,true,,6242,318,10,11,http://localhost:8080/service/guestbook,,3,UTF-8,1,0,home-pc,0,0
1601652601912,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,10,0
1601652601922,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,9,0
1601652601931,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,12,0
1601652601943,0,create_COMMENT,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,9,0
1601652601912,40,UC_02_sendComment,200,"Number of samples in transaction : 6, number of failing samples : 0",UC_02_sendComment 1-4,,true,,45790,2595,10,11,null,,0,ISO-8859-1,1,0,home-pc,0,0
1601652601912,10,connect_to_server,200,,UC_02_sendComment 1-4,text,true,,22653,355,10,11,http://localhost:8080/,,9,utf-8,1,0,home-pc,0,0
1601652601922,9,click_clients,200,,UC_02_sendComment 1-4,text,true,,6135,400,10,11,http://localhost:8080/clients.html,,9,utf-8,1,0,home-pc,0,0
1601652601932,7,click_guestbook_1,200,,UC_02_sendComment 1-4,text,true,,4112,395,10,11,http://localhost:8080/guestbook.html,,7,utf-8,1,0,home-pc,0,0
1601652601939,4,click_guestbook_2,200,,UC_02_sendComment 1-4,text,true,,6242,344,10,11,http://localhost:8080/service/guestbook,,4,UTF-8,1,0,home-pc,0,0
1601652601944,4,create_COMMENT_1,200,,UC_02_sendComment 1-4,text,true,,274,783,10,11,http://localhost:8080/service/guestbook,,4,UTF-8,1,0,home-pc,0,0
1601652601948,4,create_COMMENT_2,200,,UC_02_sendComment 1-4,text,true,,6374,318,10,11,http://localhost:8080/service/guestbook,,4,UTF-8,1,0,home-pc,0,0
1601652601464,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,662,0
1601652600651,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,1475,0
1601652602126,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,13,0
1601652602126,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,13,0
1601652602139,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,56,0
1601652602139,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,59,0
1601652602196,0,create_COMMENT,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,9,0
1601652600651,1554,UC_02_sendComment,200,"Number of samples in transaction : 6, number of failing samples : 0",UC_02_sendComment 1-10,,true,,46093,2479,10,11,null,,0,ISO-8859-1,1,0,home-pc,0,0
1601652602107,19,connect_to_server,200,,UC_02_sendComment 1-10,text,true,,22653,355,10,11,http://localhost:8080/,,18,utf-8,1,0,home-pc,0,0
1601652602126,12,click_clients,200,,UC_02_sendComment 1-10,text,true,,6135,400,10,11,http://localhost:8080/clients.html,,12,utf-8,1,0,home-pc,0,0
1601652602139,10,click_guestbook_1,200,,UC_02_sendComment 1-10,text,true,,4112,395,10,11,http://localhost:8080/guestbook.html,,10,utf-8,1,0,home-pc,0,0
1601652602149,46,click_guestbook_2,200,,UC_02_sendComment 1-10,text,true,,6374,344,10,11,http://localhost:8080/service/guestbook,,46,UTF-8,1,0,home-pc,0,0
1601652602196,4,create_COMMENT_1,200,,UC_02_sendComment 1-10,text,true,,274,667,10,11,http://localhost:8080/service/guestbook,,4,UTF-8,1,0,home-pc,0,0
1601652602201,4,create_COMMENT_2,200,,UC_02_sendComment 1-10,text,true,,6545,318,10,11,http://localhost:8080/service/guestbook,,4,UTF-8,1,0,home-pc,0,0
1601652602198,0,create_COMMENT,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,9,0
1601652601464,743,UC_02_sendComment,200,"Number of samples in transaction : 6, number of failing samples : 0",UC_02_sendComment 1-2,,true,,46093,2420,10,11,null,,0,ISO-8859-1,1,0,home-pc,0,0
1601652602107,18,connect_to_server,200,,UC_02_sendComment 1-2,text,true,,22653,355,10,11,http://localhost:8080/,,18,utf-8,1,0,home-pc,0,0
1601652602126,12,click_clients,200,,UC_02_sendComment 1-2,text,true,,6135,400,10,11,http://localhost:8080/clients.html,,12,utf-8,1,0,home-pc,0,0
1601652602139,11,click_guestbook_1,200,,UC_02_sendComment 1-2,text,true,,4112,395,10,11,http://localhost:8080/guestbook.html,,11,utf-8,1,0,home-pc,0,0
1601652602150,47,click_guestbook_2,200,,UC_02_sendComment 1-2,text,true,,6374,344,10,11,http://localhost:8080/service/guestbook,,47,UTF-8,1,0,home-pc,0,0
1601652602198,4,create_COMMENT_1,200,,UC_02_sendComment 1-2,text,true,,274,608,10,11,http://localhost:8080/service/guestbook,,4,UTF-8,1,0,home-pc,0,0
1601652602203,4,create_COMMENT_2,200,,UC_02_sendComment 1-2,text,true,,6545,318,10,11,http://localhost:8080/service/guestbook,,4,UTF-8,1,0,home-pc,0,0
1601652602206,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,11,0
1601652602217,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,10,0
1601652602227,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,13,0
1601652602241,0,create_COMMENT,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,8,0
1601652602206,43,UC_02_sendComment,200,"Number of samples in transaction : 6, number of failing samples : 0",UC_02_sendComment 1-10,,true,,46375,2536,10,11,null,,0,ISO-8859-1,1,0,home-pc,0,0
1601652602206,11,connect_to_server,200,,UC_02_sendComment 1-10,text,true,,22653,355,10,11,http://localhost:8080/,,10,utf-8,1,0,home-pc,0,0
1601652602217,9,click_clients,200,,UC_02_sendComment 1-10,text,true,,6135,400,10,11,http://localhost:8080/clients.html,,9,utf-8,1,0,home-pc,0,0
1601652602227,8,click_guestbook_1,200,,UC_02_sendComment 1-10,text,true,,4112,395,10,11,http://localhost:8080/guestbook.html,,8,utf-8,1,0,home-pc,0,0
1601652602236,4,click_guestbook_2,200,,UC_02_sendComment 1-10,text,true,,6545,344,10,11,http://localhost:8080/service/guestbook,,4,UTF-8,1,0,home-pc,0,0
1601652602241,4,create_COMMENT_1,200,,UC_02_sendComment 1-10,text,true,,274,724,10,11,http://localhost:8080/service/guestbook,,4,UTF-8,1,0,home-pc,0,0
1601652602245,4,create_COMMENT_2,200,,UC_02_sendComment 1-10,text,true,,6656,318,10,11,http://localhost:8080/service/guestbook,,4,UTF-8,1,0,home-pc,0,0
1601652601548,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,1018,0
1601652601076,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,1496,0
1601652600496,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,2076,0
1601652602567,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,15,0
1601652602572,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,15,0
1601652602572,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,18,0
1601652602582,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,20,0
1601652602587,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,21,0
1601652602590,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,20,0
1601652602602,0,create_COMMENT,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,10,0
1601652601548,1064,UC_02_sendComment,200,"Number of samples in transaction : 6, number of failing samples : 0",UC_02_sendComment 1-3,,true,,46553,2410,10,11,null,,0,ISO-8859-1,1,0,home-pc,0,0
1601652602550,16,connect_to_server,200,,UC_02_sendComment 1-3,text,true,,22653,355,10,11,http://localhost:8080/,,15,utf-8,1,0,home-pc,0,0
1601652602567,15,click_clients,200,,UC_02_sendComment 1-3,text,true,,6135,400,10,11,http://localhost:8080/clients.html,,14,utf-8,1,0,home-pc,0,0
1601652602583,13,click_guestbook_1,200,,UC_02_sendComment 1-3,text,true,,4112,395,10,11,http://localhost:8080/guestbook.html,,13,utf-8,1,0,home-pc,0,0
1601652602597,5,click_guestbook_2,200,,UC_02_sendComment 1-3,text,true,,6656,344,10,11,http://localhost:8080/service/guestbook,,4,UTF-8,1,0,home-pc,0,0
1601652602602,5,create_COMMENT_1,200,,UC_02_sendComment 1-3,text,true,,274,598,10,11,http://localhost:8080/service/guestbook,,5,UTF-8,1,0,home-pc,0,0
1601652602608,4,create_COMMENT_2,200,,UC_02_sendComment 1-3,text,true,,6723,318,10,11,http://localhost:8080/service/guestbook,,4,UTF-8,1,0,home-pc,0,0
1601652602608,0,create_COMMENT,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,8,0
1601652601076,1540,UC_02_sendComment,200,"Number of samples in transaction : 6, number of failing samples : 0",UC_02_sendComment 1-8,,true,,46688,2425,10,11,null,,0,ISO-8859-1,1,0,home-pc,0,0
1601652602550,21,connect_to_server,200,,UC_02_sendComment 1-8,text,true,,22653,355,10,11,http://localhost:8080/,,21,utf-8,1,0,home-pc,0,0
1601652602572,14,click_clients,200,,UC_02_sendComment 1-8,text,true,,6135,400,10,11,http://localhost:8080/clients.html,,14,utf-8,1,0,home-pc,0,0
1601652602587,15,click_guestbook_1,200,,UC_02_sendComment 1-8,text,true,,4112,395,10,11,http://localhost:8080/guestbook.html,,15,utf-8,1,0,home-pc,0,0
1601652602603,4,click_guestbook_2,200,,UC_02_sendComment 1-8,text,true,,6656,344,10,11,http://localhost:8080/service/guestbook,,4,UTF-8,1,0,home-pc,0,0
1601652602608,3,create_COMMENT_1,200,,UC_02_sendComment 1-8,text,true,,274,613,10,11,http://localhost:8080/service/guestbook,,3,UTF-8,1,0,home-pc,0,0
1601652602612,4,create_COMMENT_2,200,,UC_02_sendComment 1-8,text,true,,6858,318,10,11,http://localhost:8080/service/guestbook,,4,UTF-8,1,0,home-pc,0,0
1601652602610,0,create_COMMENT,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,15,0
1601652600496,2129,UC_02_sendComment,200,"Number of samples in transaction : 6, number of failing samples : 0",UC_02_sendComment 1-5,,true,,46755,2398,10,11,null,,0,ISO-8859-1,1,0,home-pc,0,0
1601652602550,21,connect_to_server,200,,UC_02_sendComment 1-5,text,true,,22653,355,10,11,http://localhost:8080/,,21,utf-8,1,0,home-pc,0,0
1601652602572,17,click_clients,200,,UC_02_sendComment 1-5,text,true,,6135,400,10,11,http://localhost:8080/clients.html,,17,utf-8,1,0,home-pc,0,0
1601652602590,14,click_guestbook_1,200,,UC_02_sendComment 1-5,text,true,,4112,395,10,11,http://localhost:8080/guestbook.html,,14,utf-8,1,0,home-pc,0,0
1601652602605,5,click_guestbook_2,200,,UC_02_sendComment 1-5,text,true,,6723,344,10,11,http://localhost:8080/service/guestbook,,5,UTF-8,1,0,home-pc,0,0
1601652602610,4,create_COMMENT_1,200,,UC_02_sendComment 1-5,text,true,,274,586,10,11,http://localhost:8080/service/guestbook,,4,UTF-8,1,0,home-pc,0,0
1601652602615,10,create_COMMENT_2,200,,UC_02_sendComment 1-5,text,true,,6858,318,10,11,http://localhost:8080/service/guestbook,,10,UTF-8,1,0,home-pc,0,0
1601652602613,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,17,0
1601652602630,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,10,0
1601652602640,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,51,0
1601652602691,0,create_COMMENT,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,21,0
1601652602613,99,UC_02_sendComment,500,"Number of samples in transaction : 6, number of failing samples : 2",UC_02_sendComment 1-3,,false,,47760,2551,10,11,null,,0,ISO-8859-1,1,1,home-pc,0,1
1601652602613,17,connect_to_server,200,,UC_02_sendComment 1-3,text,true,,22653,355,10,11,http://localhost:8080/,,16,utf-8,1,0,home-pc,0,0
